Source;Target;Type;Id;Relation
145;405;Directed;228;Relation
145;040;Directed;229;Relation
146;081;Directed;230;Relation
146;176;Directed;231;Relation
146;042;Directed;232;Relation
147;026;Directed;233;Relation
148;034;Directed;234;Relation
151;296;Directed;235;Relation
153;239;Directed;236;Relation
153;163;Directed;237;Relation
154;058;Directed;238;Relation
154;330;Directed;239;Relation
154;150;Directed;240;Relation
156;408;Directed;241;Relation
157;437;Directed;242;Relation
158;405;Directed;243;Relation
159;283;Directed;244;Relation
160;092;Directed;245;Relation
161;289;Directed;246;Relation
161;292;Directed;247;Relation
161;090;Directed;248;Relation
162;405;Directed;249;Relation
162;193;Directed;250;Relation
163;173;Directed;251;Relation
164;159;Directed;252;Relation
165;350;Directed;253;Relation
166;306;Directed;254;Relation
167;024;Directed;255;Relation
168;180;Directed;256;Relation
169;430;Directed;257;Relation
170;134;Directed;258;Relation
171;279;Directed;259;Relation
172;443;Directed;260;Relation
176;042;Directed;261;Relation
176;003;Directed;262;Relation
178;254;Directed;263;Relation
178;364;Directed;264;Relation
179;089;Directed;265;Relation
179;430;Directed;266;Relation
180;203;Directed;267;Relation
180;103;Directed;268;Relation
180;286;Directed;269;Relation
180;121;Directed;270;Relation
181;076;Directed;271;Relation
183;260;Directed;272;Relation
184;144;Directed;273;Relation
187;201;Directed;274;Relation
187;304;Directed;275;Relation
187;414;Directed;276;Relation
188;188;Directed;277;Relation
188;006;Directed;278;Relation
188;392;Directed;279;Relation
189;404;Directed;280;Relation
189;243;Directed;281;Relation
190;235;Directed;282;Relation
190;173;Directed;283;Relation
190;446;Directed;284;Relation
193;405;Directed;285;Relation
193;278;Directed;286;Relation
194;303;Directed;287;Relation
194;321;Directed;288;Relation
194;156;Directed;289;Relation
194;339;Directed;290;Relation
195;306;Directed;291;Relation
196;042;Directed;292;Relation
196;152;Directed;293;Relation
198;235;Directed;294;Relation
199;279;Directed;295;Relation
200;031;Directed;296;Relation
201;189;Directed;297;Relation
201;108;Directed;298;Relation
201;187;Directed;299;Relation
201;196;Directed;300;Relation
201;264;Directed;301;Relation
201;245;Directed;302;Relation
201;341;Directed;303;Relation
201;100;Directed;304;Relation
205;028;Directed;305;Relation
206;031;Directed;306;Relation
206;386;Directed;307;Relation
208;395;Directed;308;Relation
210;266;Directed;309;Relation
211;363;Directed;310;Relation
212;167;Directed;311;Relation
213;154;Directed;312;Relation
213;380;Directed;313;Relation
213;250;Directed;314;Relation
213;324;Directed;315;Relation
213;447;Directed;316;Relation
214;263;Directed;317;Relation
214;215;Directed;318;Relation
214;173;Directed;319;Relation
216;393;Directed;320;Relation
217;170;Directed;321;Relation
218;374;Directed;322;Relation
220;020;Directed;323;Relation
221;439;Directed;324;Relation
222;393;Directed;325;Relation
223;201;Directed;326;Relation
223;108;Directed;327;Relation
223;264;Directed;328;Relation
223;176;Directed;329;Relation
223;366;Directed;330;Relation
223;100;Directed;331;Relation
225;010;Directed;332;Relation
226;166;Directed;333;Relation
227;089;Directed;334;Relation
228;302;Directed;335;Relation
229;383;Directed;336;Relation
229;087;Directed;337;Relation
230;265;Directed;338;Relation
230;415;Directed;339;Relation
232;159;Directed;340;Relation
232;099;Directed;341;Relation
235;039;Directed;342;Relation
235;235;Directed;343;Relation
235;173;Directed;344;Relation
235;404;Directed;345;Relation
235;317;Directed;346;Relation
235;313;Directed;347;Relation
235;132;Directed;348;Relation
235;132;Directed;349;Relation
235;132;Directed;350;Relation
237;209;Directed;351;Relation
237;193;Directed;352;Relation
240;410;Directed;353;Relation
240;202;Directed;354;Relation
240;288;Directed;355;Relation
240;253;Directed;356;Relation
242;219;Directed;357;Relation
242;405;Directed;358;Relation
242;322;Directed;359;Relation
243;145;Directed;360;Relation
243;219;Directed;361;Relation
244;446;Directed;362;Relation
244;190;Directed;363;Relation
244;173;Directed;364;Relation
245;107;Directed;365;Relation
245;081;Directed;366;Relation
247;400;Directed;367;Relation
247;202;Directed;368;Relation
248;396;Directed;369;Relation
